,Title,Image URL,ASIN,Status
0,AI Superpowers,https://m.media-amazon.com/images/I/51JUAPufL-L._SL500_.jpg,BK_BRLL_010984,True
1,Alibaba,https://m.media-amazon.com/images/I/51YRHakTODL._SL500_.jpg,BK_HARP_005111,False
2,Blitzscaling,https://m.media-amazon.com/images/I/51wembGJSkL._SL500_.jpg,BK_HCUK_004172,False
3,Building a StoryBrand,https://m.media-amazon.com/images/I/41QDfe1Ov5L._SL500_.jpg,BK_TNWD_000713,False
4,Creativity Inc.,https://m.media-amazon.com/images/I/51vXKxIu6xL._SL500_.jpg,BK_RHUK_001705,True
5,Disciplined Entrepreneurship,https://m.media-amazon.com/images/I/41YTbxzY2IL._SL500_.jpg,BK_GDAN_001366,False
6,Disrupt Yourself,https://m.media-amazon.com/images/I/51MHlrmCLoL._SL500_.jpg,BK_MACM_000847,True
7,Escape Velocity,https://m.media-amazon.com/images/I/510SdAzNCrL._SL500_.jpg,BK_HARP_002609,False
8,Extreme Ownership,https://m.media-amazon.com/images/I/51EDhEokzbL._SL500_.jpg,BK_AREN_002092,False
9,Freakonomics,https://m.media-amazon.com/images/I/51M+4mI+zeL._SL500_.jpg,BK_PAUK_000036,False
10,Game Thinking,https://m.media-amazon.com/images/I/51vTszR6ylL._SL500_.jpg,BK_ACX0_142300,True
11,Grit,https://m.media-amazon.com/images/I/41KWTz0vgnL._SL500_.jpg,BK_RHUK_002401,False
12,How to Analyze People,https://m.media-amazon.com/images/I/51C5+0NsBzL._SL500_.jpg,BK_ACX0_158632,False
13,Influence,https://m.media-amazon.com/images/I/51K-iHvDHNL._SL500_.jpg,BK_HARP_005600,False
14,"Jugaad Innovation: Think Frugal, Be Flexible, Generate Breakthrough Growth",https://m.media-amazon.com/images/I/51xP+F0dxYL._SL500_.jpg,BK_ADBL_004770,False
15,Methods of Persuasion,https://m.media-amazon.com/images/I/51TdvldYimL._SL500_.jpg,BK_ACX0_096455,False
16,Mistakes Were Made (But Not By Me),https://m.media-amazon.com/images/I/41CuKl-ZY3L._SL500_.jpg,BK_ADBL_002351,False
17,Never Split the Difference,https://m.media-amazon.com/images/I/51TSWCruAHL._SL500_.jpg,BK_RHUK_004330,False
18,Peter Pan,https://m.media-amazon.com/images/I/61uzT8IuNFL._SL500_.jpg,OR_ORIG_000868,False
19,Powerful: Building a Culture of Freedom and Responsibility,https://m.media-amazon.com/images/I/513kiui3KcL._SL500_.jpg,BK_ACX0_103394,False
20,Prepared,https://m.media-amazon.com/images/I/41HzCNa7WFL._SL500_.jpg,BK_RAND_007301,False
21,Principles,https://m.media-amazon.com/images/I/51UyMOpP+GL._SL500_.jpg,BK_SANS_008054,False
22,Rebel Ideas,https://m.media-amazon.com/images/I/41hmQz65P-L._SL500_.jpg,BK_HODD_002358,False
23,Rich Dad Poor Dad: 20th Anniversary Edition,https://m.media-amazon.com/images/I/51OQRorJhJL._SL500_.jpg,BK_BRLL_011865,True
24,Start Where You Are,https://m.media-amazon.com/images/I/51RJiYMkIgL._SL500_.jpg,BK_HARP_001888,False
25,"Surely You're Joking, Mr. Feynman!",https://m.media-amazon.com/images/I/516Pfre8UvL._SL500_.jpg,BK_BLAK_000016,True
26,Talking to Strangers,https://m.media-amazon.com/images/I/51BR+ZMeW0L._SL500_.jpg,BK_PAUK_002201,False
27,The 4-Hour Work Week,https://m.media-amazon.com/images/I/518+s5Nu4XL._SL500_.jpg,BK_RHUK_001143,True
28,The Chimp Paradox,https://m.media-amazon.com/images/I/51BydRgJ2CL._SL500_.jpg,BK_RHUK_001219,False
29,The Cows,https://m.media-amazon.com/images/I/51hAQltQ53L._SL500_.jpg,BK_HCUK_002797,False
30,The Everything Store,https://m.media-amazon.com/images/I/51kwkLLoJWL._SL500_.jpg,BK_RHUK_001662,False
31,The Founder's Dilemmas,https://m.media-amazon.com/images/I/413e43FxTSL._SL500_.jpg,BK_ADBL_005003,False
32,The Messy Middle,https://m.media-amazon.com/images/I/51evUxAn34L._SL500_.jpg,BK_PAUK_001867,False
33,The Moment That Changed Everything,https://m.media-amazon.com/images/I/51UdAYXO-xL._SL500_.jpg,OR_A410_000001,OR_A410_000001
34,The Phoenix Project,https://m.media-amazon.com/images/I/51Fi5Fq4u5L._SL500_.jpg,BK_ACX0_032985,False
35,The Tales of Beedle the Bard,https://m.media-amazon.com/images/I/51pTvYWQTSL._SL500_.jpg,BK_POTR_000526,True
36,This Is Marketing,https://m.media-amazon.com/images/I/51SsXDzhIfL._SL500_.jpg,BK_PAUK_001883,False
37,Trillion Dollar Coach,https://m.media-amazon.com/images/I/51yWEUEhN+L._SL500_.jpg,BK_HODD_002179,True
38,Why We Sleep,https://m.media-amazon.com/images/I/51VY35B-IDL._SL500_.jpg,BK_PAUK_001072,True
